type, title, names, conference, city, start_year, start_month, start_date, end_year, end_month, end_date
# oral, バルマーα線プロファイルに基づく粒子輸送の研究, 第67回年次大会(2012) (中止), 後藤基志; 澤田圭司; 藤井恵介; 蓮尾昌裕; 森田繁
oral, 複数波長域高分解分光法によるLHDプラズマ中ヘリウム発光線の計測, 日本物理学会 2010年秋季大会, 藤井恵介; 水尻圭介; 四竈泰一; 岩前敦; 後藤基志; 森田繁; 蓮尾昌裕, 大阪, 2010, 09, 23, 2010, 09, 26
oral, コアプラズマ中の中性水素原子密度分布, 日本物理学会 2010年秋季大会, 後藤基志; 澤田圭司; 藤井恵介; 蓮尾昌裕; 森田繁, 大阪, 2010, 09, 23, 2010, 09, 26
oral, 空気中でのショ糖結晶の破壊に伴う発光の窒素分子スペクトル計測, 日本物理学会 2010年秋季大会, 小池祐太郎; 藤井恵介; 四竈泰一; 蓮尾昌裕, 大阪, 2010, 09, 23, 2010, 09, 26
oral, 多波長同時高分解分光器によるLHD周辺プラズマの計測, 第65回年次大会(2010), 藤井恵介; 西岡朋美; 四竈泰一; 岩前敦; 後藤基志; 森田繁; 蓮尾昌裕; 水尻圭介, 岡山, 2010, 03, 20, 2010, 03, 23
oral, 水素原子・分子発光線高分解スペクトル同時計測システムの開発, 第65回年次大会(2009), 藤井恵介; 水尻圭祐; 西岡朋美; 四竈泰一; 岩前敦; 後藤基志; 森田繁; 蓮尾昌裕, 東京, 2009, 03, 27, 2009, 03, 30
oral, LHDにおける水素原子・分子発光スペクトルの高分解同時計測, 第65回年次大会(2009), 水尻圭祐; 藤井恵介; 西岡朋美; 四竈泰一; 岩前敦; 後藤基志; 森田繁; 蓮尾昌裕, 東京, 2009, 03, 27, 2009, 03, 30
oral, ヘリウム中トライボルミネッセンスのプラズマ分光診断, 日本物理学会 2008年秋季大会, 藤井恵介; Do Nguyen Nam Quan; 岩前敦; 四竈泰一; 蓮尾昌裕, 山形, 2008, 09, 20, 2008, 09, 23
oral, LHDにおける水素分子Fulcher帯の高分解分光観測, 日本物理学会 2008年秋季大会, 柳林潤; 藤井恵介; 水尻圭祐; 蓮尾昌裕; 四竈泰一; 岩前敦; 後藤基志; 森田繁, 山形, 2008, 09, 20, 2008, 09, 23
oral, データ駆動アプローチを用いた乱流シミュレーションにおける雪崩的輸送現象の解析, プラズマ・核融合学会 第36回年会, 朝比祐一; 藤井恵介; 井戸村泰宏; 矢木雅敏, 春日井, 2019, 11, 29, 2019, 12, 2
poster, LHDにおける水素同位体プラズマの粒子輸送解析, プラズマ・核融合学会 第36回年会, 今川直人; 山田弘司; 宮前健人; 横山達也; 居田克巳; 坂本隆一; 藤井恵介; 吉沼幹朗; 本島　厳, 春日井, 2019, 11, 29, 2019, 12, 2
poster, 大規模原子データ解析のための距離に基づくエネルギーレベルの同定, プラズマ・核融合学会 第36回年会, 藤井恵介; J. R. Crespo López-Urrutia, 春日井, 2019, 11, 29, 2019, 12, 2
poster, Investigation of hydrogen molecules characteristics in the edge plasma of LHD, プラズマ・核融合学会 第35回年会, Kuzmin Arseniy; 小林政弘; 蓮尾昌裕; 四竈泰一; 仲野友英; 藤井恵介; 森崎友宏, 吹田, 2018, 12, 03, 2018, 12, 06
poster, 乱流プラズマ中モード間エネルギー輸送の可視化, プラズマ・核融合学会 第35回年会, 藤井恵介; 前山伸也; 小渕智之; 大舘暁; 稲垣滋, 吹田, 2018, 12, 03, 2018, 12, 06
poster, LHDにおける閉じ込め・輸送特性の次元相似性からの考察, プラズマ・核融合学会 第35回年会, 山田弘司; 田中謙治; 關良輔; 鈴木千尋; 居田克巳; 横山雅之; 仲田資季; 村上定義; 徳沢季彦; 吉沼幹朗; 藤井恵介, 吹田, 2018, 12, 03, 2018, 12, 06
oral, データ駆動プラズマ科学 -インフォマティクスで発見を加速する- はじめに, プラズマ・核融合学会 第35回年会, 藤井恵介, 吹田, 2018, 12, 03, 2018, 12, 06
oral, レーザー吸収分光法によるマイクロホローカソードHeプラズマ中準安定原子密度および電場強度の空間分解計測, Plasma Conference 2017, 上野	佳祐; 亀淵健太; 角谷仁郎; 松岡雷士; 難波愼一; 藤井恵介; 四竈泰一; 蓮尾昌裕, 姫路, 2017, 11, 20, 2017, 11, 24
oral, バルマー線スペクトルプロファイル逆変換によるLHDプラズマ中水素・重水素原子密度分布の変分ベイズ推定２, Plasma Conference 2017, Kanatani	Yosuke; 蓮尾昌裕; 後藤基志; 森田繁; 藤井恵介, 姫路, 2017, 11, 20, 2017, 11, 24
oral, ニューラルネットワークを用いたLHD磁気座標マッピングの安定化, Plasma Conference 2017, 藤井恵介; 鈴木千尋; 居田克己; 山田一博; 安原亮; 蓮尾昌裕, 姫路, 2017, 11, 20, 2017, 11, 24
poster, 全反射発光分光による大気圧ヘリウムプラズマジェット照射表面の励起種観測, Plasma Conference 2017, 蓮尾昌裕; 角谷仁郎; 上野佳祐; 藤井恵介; 四竈泰一; 田中美穂, 姫路, 2017, 11, 20, 2017, 11, 24
